,Movie_name,Ratings,Year,Rated_by,Director,Lead_hero,Co_star
0,The Shawshank Redemption,9.2,1994,"2,562,268",Frank Darabont,Tim Robbins,Morgan Freeman
1,The Godfather,9.2,1972,"1,763,513",Francis Ford Coppola,Marlon Brando,Al Pacino
2,The Dark Knight,9.0,2008,"2,523,607",Christopher Nolan,Christian Bale,Heath Ledger
3,The Godfather: Part II,9.0,1974,"1,221,017",Francis Ford Coppola,Al Pacino,Robert De Niro
4,12 Angry Men,9.0,1957,"756,854",Sidney Lumet,Henry Fonda,Lee J. Cobb
5,Schindler's List,8.9,1993,"1,306,279",Steven Spielberg,Liam Neeson,Ralph Fiennes
6,The Lord of the Rings: The Return of the King,8.9,2003,"1,763,870",Peter Jackson,Elijah Wood,Viggo Mortensen
7,Pulp Fiction,8.9,1994,"1,967,895",Quentin Tarantino,John Travolta,Uma Thurman
8,The Lord of the Rings: The Fellowship of the Ring,8.8,2001,"1,785,691",Peter Jackson,Elijah Wood,Ian McKellen
9,"The Good, the Bad and the Ugly",8.8,1966,"737,586",Sergio Leone,Clint Eastwood,Eli Wallach
10,Forrest Gump,8.8,1994,"1,976,687",Robert Zemeckis,Tom Hanks,Robin Wright
11,Fight Club,8.8,1999,"2,016,385",David Fincher,Brad Pitt,Edward Norton
12,Inception,8.7,2010,"2,249,329",Christopher Nolan,Leonardo DiCaprio,Joseph Gordon-Levitt
13,The Lord of the Rings: The Two Towers,8.7,2002,"1,593,577",Peter Jackson,Elijah Wood,Ian McKellen
14,Star Wars: Episode V - The Empire Strikes Back,8.7,1980,"1,240,430",Irvin Kershner,Mark Hamill,Harrison Ford
15,The Matrix,8.7,1999,"1,845,542",Lana Wachowski,Keanu Reeves,Laurence Fishburne
16,Goodfellas,8.7,1990,"1,106,134",Martin Scorsese,Robert De Niro,Ray Liotta
17,One Flew Over the Cuckoo's Nest,8.6,1975,"977,006",Milos Forman,Jack Nicholson,Louise Fletcher
18,Se7en,8.6,1995,"1,571,085",David Fincher,Morgan Freeman,Brad Pitt
19,Seven Samurai,8.6,1954,"336,940",Akira Kurosawa,Toshirô Mifune,Takashi Shimura
20,It's a Wonderful Life,8.6,1946,"441,818",Frank Capra,James Stewart,Donna Reed
21,The Silence of the Lambs,8.6,1991,"1,374,414",Jonathan Demme,Jodie Foster,Anthony Hopkins
